Player_ID,Player_Name,Total_Runs,Balls_Faced,Strike_Rate,Batting_Average,Matches_Played,No_of_Fours,No_of_Sixes,Balls_Bowled,Runs_Conceded,Wickets_Taken,Matches_Bowled,Overs,Economy,Bowling_Average,Bowling_SR
90179.0,EJG Morgan,133.0,142.0,93.66197183098592,11.083333333333334,15.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90182.0,F du Plessis,1101.0,848.0,129.83490566037736,36.7,32.0,110.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90183.0,FA Allen,14.0,19.0,73.68421052631578,7.0,3.0,1.0,0.0,91.0,136.0,2.0,4.0,15.166666666666666,8.967032967032967,68.0,45.5
90184.0,Fazalhaq Farooqi,2.0,8.0,25.0,2.0,1.0,0.0,0.0,76.0,110.0,2.0,3.0,12.666666666666666,8.68421052631579,55.0,38.0
90193.0,GD Phillips,26.0,33.0,78.78787878787878,13.0,3.0,1.0,2.0,13.0,20.0,1.0,2.0,2.1666666666666665,9.230769230769232,20.0,13.0
90195.0,GHS Garton,2.0,4.0,50.0,2.0,2.0,0.0,0.0,97.0,136.0,3.0,5.0,16.166666666666668,8.412371134020617,45.333333333333336,32.333333333333336
90197.0,GJ Maxwell,814.0,557.0,146.14003590664274,38.76190476190476,27.0,79.0,36.0,245.0,301.0,11.0,16.0,40.833333333333336,7.371428571428571,27.363636363636363,22.272727272727273
90203.0,Harbhajan Singh,4.0,4.0,100.0,4.0,2.0,0.0,0.0,45.0,63.0,0.0,3.0,7.5,8.4,0.0,0.0
90205.0,Harpreet Brar,86.0,86.0,100.0,28.666666666666668,8.0,4.0,4.0,241.0,290.0,9.0,12.0,40.166666666666664,7.219917012448133,32.22222222222222,26.77777777777778
90207.0,Harshit Rana,2.0,2.0,100.0,2.0,2.0,0.0,0.0,31.0,52.0,1.0,2.0,5.166666666666667,10.064516129032258,52.0,31.0
90208.0,HE van der Dussen,22.0,25.0,88.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90211.0,HH Pandya,614.0,503.0,122.0675944333996,32.31578947368421,26.0,60.0,17.0,189.0,226.0,8.0,10.0,31.5,7.174603174603175,28.25,23.625
90213.0,HR Shokeen,43.0,48.0,89.58333333333334,21.5,2.0,5.0,0.0,94.0,130.0,2.0,5.0,15.666666666666666,8.297872340425533,65.0,47.0
90214.0,HV Patel,102.0,90.0,113.33333333333333,10.2,14.0,10.0,4.0,699.0,882.0,56.0,30.0,116.5,7.570815450643777,15.75,12.482142857142858
90216.0,I Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,98.0,1.0,3.0,12.0,8.166666666666666,98.0,72.0
90219.0,IC Porel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,42.0,1.0,1.0,4.333333333333333,9.692307692307693,42.0,26.0
90221.0,Imran Tahir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,3.0,1.0,4.333333333333333,3.6923076923076925,5.333333333333333,8.666666666666666
90225.0,Ishan Kishan,659.0,537.0,122.71880819366854,29.954545454545453,24.0,66.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90228.0,J Suchith,16.0,14.0,114.28571428571428,8.0,3.0,2.0,1.0,157.0,207.0,8.0,7.0,26.166666666666668,7.910828025477707,25.875,19.625
